Technology,Gas Consumption (MWh/yr)
Boiler 263,9174.725496
Boiler 264,9174.725496
Boiler 265,9174.725496
Boiler 266,9174.725496
Boiler 267,9174.725496
Boiler 268,9174.725496
Boiler 269,9174.725496
Boiler 270,9276.52458
Boiler 271,10015.85791
Boiler 272,10226.0897
Boiler 273,10414.90434
Boiler 274,10505.06069
Boiler 275,10769.47628
Boiler 276,10801.87224
Boiler 277,10917.92334
Boiler 278,11088.57323
Boiler 279,11315.18895
Boiler 280,11319.75797
Boiler 281,11342.9
Boiler 282,11342.9
Boiler 283,11342.9
Boiler 284,11342.9
Boiler 285,11342.9
Boiler 286,11342.9
Boiler 287,11342.9
Boiler 288,11342.9
Boiler 289,11342.9
Boiler 290,11342.9
Boiler 291,11342.9
Boiler 292,11342.9
Boiler 293,11342.9
Boiler 294,11342.9
Boiler 295,11342.9
Boiler 296,11342.9
Boiler 297,11342.9
Boiler 298,11342.9
Boiler 299,11342.9
Boiler 300,11342.9
Boiler 301,11342.9
Boiler 302,11342.9
Boiler 303,11342.9
Boiler 304,11342.9
Boiler 305,11342.9
Boiler 306,11342.9
Boiler 307,11342.9
Boiler 308,11342.9
Boiler 309,11342.9
Boiler 310,11342.9
Boiler 311,11342.9
Boiler 312,11342.9
Boiler 313,11342.9
Boiler 314,11342.9
Boiler 315,11342.9
Boiler 316,11342.9
Boiler 317,11342.9
Boiler 318,11342.9
Boiler 319,11342.9
Boiler 320,11342.9
Boiler 321,11342.9
Boiler 322,11342.9
Boiler 323,11342.9
Boiler 324,11342.9
Boiler 325,11342.9
Boiler 326,11342.9
Boiler 327,11342.9
Boiler 328,11342.9
Boiler 329,11342.9
Boiler 330,11342.9
Boiler 331,11342.9
Boiler 332,11342.9
Boiler 333,11342.9
Boiler 334,11342.9
Boiler 335,11342.9
Boiler 336,11342.9
Boiler 337,11342.9
Boiler 338,11342.9
Boiler 339,11342.9
Boiler 340,11342.9
Boiler 341,11342.9
Boiler 342,11342.9
Boiler 343,11342.9
Boiler 344,11342.9
Boiler 345,11342.9
Boiler 346,11342.9
Boiler 347,11342.9
Boiler 348,11342.9
Boiler 349,11342.9
Boiler 350,11342.9
Boiler 351,11342.9
Boiler 352,11342.9
Boiler 353,11342.9
Boiler 354,11342.9
Boiler 355,11342.9
Boiler 356,11342.9
Boiler 357,11342.9
Boiler 358,11342.9
Boiler 359,11342.9
Boiler 360,11342.9
Boiler 361,11342.9
Boiler 362,11342.9
Boiler 363,11342.9
Boiler 364,11342.9
Boiler 365,11342.9
Boiler 366,11342.9
Boiler 367,11342.9
Boiler 368,11342.9
Boiler 369,11449.61428
Boiler 370,11839.64195
Boiler 371,12201.44909
Boiler 372,12326.32536
Boiler 373,12414.32107
Boiler 374,12632.28502
